'C_q:[as=smp,vc=smp]:አጨ፟ቀ::TqTq.E_
ngr:[as=rc,vc=ps]:ተናገ፟ረ::wrr.A_cs
ngr:[as=smp,vc=smp]:ነገ፟ረ::wd.A_
ngs:[as=smp,vc=smp]:ነገ፟ሰ::ngs.A_
ngs:[as=smp,vc=tr]:አነገ፟ሰ::ngs.A_cs
nk':[as=it,vc=smp]:ነካካ፟::lgd.A_it
nk':[as=it,vc=tr]:አንካካ፟::lgd.A_cspsit
nk':[as=smp,vc=cs]:አስነካ፟::lgd.A_csps
nk':[as=smp,vc=ps]:ተነካ፟::lgd.A_ps
nk':[as=smp,vc=smp]:ነካ፟::lgd.A_
nkWt:[as=smp,vc=smp]:ነኰ፟ተ::nkt.A_
nq':[as=it,vc=tr]:አንቃቃ፟::nqh.A_cspsit
nqWr:[as=rc,vc=tr]:አና፟ቈ፟ረ::yz.A_cspsit
nqf:[as=smp,vc=smp]:ነቀ፟ፈ::Trs.A_cs
nql:[as=it,vc=ps]:ተነቃቀ፟ለ::nql.A_psit
nql:[as=smp,vc=cs]:አስነቀ፟ለ::nql.A_csps
nql:[as=smp,vc=smp]:ነቀ፟ለ::nql.A_
nqnq:[as=rc,vc=ps]:ተነቃነ፟ቀ::nqnq.F_ps
nqnq:[as=rc,vc=tr]:አነ፟ቃነ፟ቀ::nqnq.F_csps
nqs:[as=smp,vc=smp]:ነቀ፟ሰ::nqs.A_
ns':[as=it,vc=ps]:ተንሳሳ፟::nsh.A_psit
ns':[as=rc,vc=tr]:አና፟ሳ፟::nsh.A_cspsrc
ns':[as=smp,vc=cs]:አስነሳ፟::nsh.A_cspsrc
ns':[as=smp,vc=ps]:ተነሳ፟::nsh.A_ps
ns':[as=smp,vc=tr]:አነሳ፟::nsh.A_
nsns:[as=smp,vc=ps]:ተነሰነ፟ሰ::nsns.E_ps
nsns:[as=smp,vc=smp]:ነሰነ፟ሰ::nsns.E_
nsr:[as=smp,vc=smp,ob=[+xpl]]:ነሰ፟ረው::ntr.A_3
ntrk:[as=rc,vc=ps]:ተነታረ፟ከ::CqCq.E_psrc
ntrk:[as=smp,vc=smp]:ነተረ፟ከ::CqCq.E_
nw_T:[as=rc,vc=tr]:አና፟ወ፟ጠ::nwT.C_csps
nwr:[as=it,vc=ps]:ተኗኗረ::nbr.A_psrc
nwr:[as=smp,vc=smp]:ኖረ::nbr.A_
nwr:[as=smp,vc=tr]:አኖረ::nbr.A_cs
nznz:[as=smp,vc=smp]:ነዘነ፟ዘ::nznz.E_
nzr:[as=smp,vc=smp]:ነዘ፟ረ::nzr.A_
n|T'T':[as=smp,vc=tr]:አንጣጣ፟::nThTh.E_cs
n|Tall:[as=smp,vc=ps]:ተንጣለ፟ለ::nThll.E_
n|TbTb:[as=rc,vc=ps]:ተንጠባጠ፟በ::rgf.A_
n|TbTb:[as=rc,vc=tr]:አንጠባጠ፟በ::rgf.A_cs
n|TlTl:[as=rc,vc=ps]:ተንጠላጠ፟ለ::nTlTl.E_
n|TlTl:[as=smp,vc=ps]:ተንጠለጠ፟ለ::nTlTl.E_
n|TlTl:[as=smp,vc=tr]:አንጠለጠ፟ለ::nTlTl.E_cs
n|Trar':[as=smp,vc=ps]:ተንጠራራ፟::Trmm.F_ps
n|Trzz:[as=smp,vc=ps]:ተንጠረዘ፟ዘ::nTlbb.E_
n|Zabb:[as=smp,vc=tr]:አንዣበ፟በ::nZbb.F_cs
n|bWCbWC:[as=rc,vc=tr]:አንቦጫቦ፟ጨ::nbWCbWC.F_cs
n|barq:[as=smp,vc=tr]:አንባረ፟ቀ::frqh.F_ps
n|brkk:[as=smp,vc=tr]:አንበረከ፟ከ::nbrkk.E_cs
n|c'c':[as=smp,vc=tr]:አንቻቻ፟::nchch.E_cs
n|g'g':[as=smp,vc=tr]:አንጋጋ፟::nghgh.E_cs
n|gCagC:[as=smp,vc=tr]:አንገጫገ፟ጨ::nyT.A_
n|gWdgWd:[as=smp,vc=ps]:ተንጐደጐ፟ደ::ngbgb.E_
n|gWlaj*:[as=smp,vc=tr]:አንጐላጀ፟::ngWhlt.E_cs
n|gaTT:[as=smp,vc=tr]:አንጋጠ፟ጠ::ngTT.F_cs
n|gadd:[as=smp,vc=tr]:አንጋደ፟ደ::nkrtt.E_cs
n|gall:[as=smp,vc=ps]:ተንጋለ፟ለ::nghll.E_
n|gall:[as=smp,vc=tr]:አንጋለ፟ለ::nghll.E_cs
n|gbgb:[as=smp,vc=tr]:አንገበገ፟በ::ngbgb.E_cs
n|glajj:[as=smp,vc=ps]:ተንገላጀ፟ጀ::ngljj.E_
n|gragr:[as=smp,vc=tr]:አንገራገ፟ረ::ngrgr.F_cs
n|grgb:[as=smp,vc=ps]:ተንገረገ፟በ::ngrgb.E_
n|grgb:[as=smp,vc=tr]:አንገረገ፟በ::ngrgb.E_cs
n|gxgx:[as=smp,vc=tr]:አንገሸገ፟ሸ::mrr.A_
n|kW'kW':[as=smp,vc=tr]:አንኳኳ፟::nkWhkWh.E_cs
n|kball:[as=smp,vc=ps]:ተንከባለ፟ለ::nkbll.F_
n|kball:[as=smp,vc=tr]:አንከባለ፟ለ::nkbll.F_cs
n|kbkb:[as=rc,vc=ps]:ተንከባከ፟በ::lbyy.F_ps
n|klaws:[as=smp,vc=ps]:ተንከላወ፟ሰ::nklws.F_
n|kratt:[as=smp,vc=ps]:ተንከራተ፟ተ::nkrtt.F_
n|qTqT:[as=smp,vc=ps]:ተንቀጠቀ፟ጠ::nqTqT.E_
n|qWaxx:[as=smp,vc=tr]:አንቋሸ፟ሸ::tns.A_csit
n|qarr:[as=smp,vc=tr]:አንቃረ፟ረ::nqrr.F_cs
n|qbarr:[as=smp,vc=ps]:ተንቀባረ፟ረ::nqbrr.F_
n|qlql:[as=smp,vc=ps]:ተንቀለቀ፟ለ::nqlql.E_
n|qrff:[as=smp,vc=ps]:ተንቀረፈ፟ፈ::nqrff.E_
n|qrff:[as=smp,vc=tr]:አንቀረፈ፟ፈ::nqrff.E_cs
n|qsaqs:[as=smp,vc=ps]:ተንቀሳቀ፟ሰ::nqsqs.F_
n|qsaqs:[as=smp,vc=tr]:አንቀሳቀ፟ሰ::nqsqs.F_cs
n|saff:[as=smp,vc=ps]:ተንሳፈ፟ፈ::zll.C_cs
n|sqsq:[as=smp,vc=ps]:ተንሰቀሰ፟ቀ::Txy.Aw_ps
n|tbatb:[as=smp,vc=ps]:ተንተባተ፟በ::tbtb.E_psrc
n|xratt:[as=smp,vc=ps]:ተንሸራተ፟ተ::nxrtt.F_
n|xwarr:[as=smp,vc=ps]:ተንሸዋረ፟ረ::Tngr.F_ps
n|z'z':[as=smp,vc=tr]:አንዛዛ፟::nzhzh.E_cs
q'T':[as=smp,vc=smp]:ቃጣ፟::qTh.C_
q'm:[as=smp,vc=smp]:ቃመ::qhm.A_
qC_C:[as=smp,vc=smp]:ቀጨ፟ጨ::TZy.B_
qC_C:[as=smp,vc=tr]:አቀጨ፟ጨ::TZy.B_csps
qT':[as=smp,vc=ps]:ተቀጣ፟::qTh.A_ps
qT':[as=smp,vc=smp]:ቀጣ፟::qTh.A_
qT_l:[as=it,vc=ps]:ተቀጣጠ፟ለ::qTl.B_psit
qT_l:[as=smp,vc=ps]:ተቀጠ፟ለ::qTl.B_ps
qT_l:[as=smp,vc=smp]:ቀጠ፟ለ::qTl.B_
qTf:[as=it,vc=ps]:ተቀጣጠ፟ፈ::qTf.A_psit
qTf:[as=smp,vc=ps]:ተቀጠ፟ፈ::qTf.A_ps
qTn:[as=smp,vc=smp]:ቀጠ፟ነ::qTn.A_
qTn:[as=smp,vc=tr]:አቀጠ፟ነ::qTn.A_cs
qTqT:[as=smp,vc=ps]:ተቀጠቀ፟ጠ::qTqT.E_ps
qTr:[as=rc,vc=ps]:ተቃጠ፟ረ::qTr.A_psrc
qTr:[as=smp,vc=ps]:ተቀጠ፟ረ::qTr.A_ps
qWC_*:[as=smp,vc=cs]:አስቈጨ፟::qCy.Aw_csps
qWC_*:[as=smp,vc=ps]:ተቈጨ፟::qCy.Aw_ps
qWTqWT:[as=smp,vc=smp]:ቈጠቈ፟ጠ::lblb.E_
qWTr:[as=smp,vc=ps]:ተቈጠ፟ረ::qTr.AW_ps
qWTr:[as=smp,vc=smp]:ቈጠ፟ረ::qTr.AW_
qWaC*:[as=smp,vc=smp]:ቋጨ፟::qWCy.C_
qWf_r:[as=it,vc=ps]:ተቈፋፈ፟ረ::qfr.AW_psit
qWl_f:[as=it,vc=ps]:ተቈላለ፟ፈ::qlf.AW_psit
qWl_f:[as=it,vc=smp]:ቈላለ፟ፈ::qlf.AW_it
qWl_f:[as=rc,vc=ps]:ተቋለ፟ፈ::qlf.AW_psrc
qWl_f:[as=smp,vc=smp]:ቈለ፟ፈ::qlf.AW_
qWl_l:[as=smp,vc=ps]:ተቈለ፟ለ::qll.AW_ps
qWl_l:[as=smp,vc=smp]:ቈለ፟ለ::qll.AW_
qWlmm:[as=rc,vc=ps]:ተቈላመ፟መ::qWlmm.E_ps
qWlmm:[as=smp,vc=smp]:ቈለመ፟መ::qWlmm.E_
qWnTT:[as=rc,vc=ps]:ተቈናጠ፟ጠ::qWnTT.E_psrc
qWnTT:[as=smp,vc=ps]:ተቈነጠ፟ጠ::qWnTT.E_ps
qWnTT:[as=smp,vc=smp]:ቈነጠ፟ጠ::qWnTT.E_psrc
qWnTr:[as=smp,vc=ps]:ተቈነጠ፟ረ::qWnTr.E_ps
qWn_n:[as=smp,vc=ps]:ተቈነ፟ነ::qnn.AW_ps
qWn_s:[as=smp,vc=smp]:ቈነ፟ሰ::Tngh.E_psrc
qWrT:[as=it,vc=smp]:ቈራረ፟ጠ::hrT.A_it
qWrT:[as=smp,vc=smp]:ቈረ፟ጠ::hrT.A_
qWrTm:[as=smp,vc=ps]:ተቈረጠ፟መ::hCy.A_ps
qWrfd:[as=rc,vc=ps]:ተቈራፈ፟ደ::qWrfd.E_psrc
qWrfd:[as=rc,vc=tr]:አቈ፟ራፈ፟ደ::qWrfd.E_csps
qWrfd:[as=smp,vc=tr]:አቈረፈ፟ደ::qWrfd.E_csps
qWrqWr:[as=smp,vc=ps]:ተቈረቈ፟ረ::qWrqWr.E_ps
qWrqWr:[as=smp,vc=smp]:ቈረቈ፟ረ::qWrqWr.E_
qWrs:[as=it,vc=ps]:ተቈራረ፟ሰ::qrs.AW_psit
qWrs:[as=smp,vc=smp]:ቈረ፟ሰ::qrs.AW_
qWsl:[as=smp,vc=tr]:አቈሰ፟ለ::mzyy.E_cs
qWsqWs:[as=smp,vc=ps]:ተቈሰቈ፟ሰ::qWsqWs.E_ps
qWsqWs:[as=smp,vc=smp]:ቈሰቈ፟ሰ::qWsqWs.E_
qWy_*:[as=smp,vc=smp]:ቈየ፟::hqs.B_
qWy_*:[as=smp,vc=tr]:አቈየ፟::hqs.B_csps
qabz:[as=smp,vc=smp]:ቃበ፟ዘ::qZy.C_
qatt:[as=smp,vc=smp]:ቃተ፟ተ::Thr.A_cspsit
qb_':[as=rc,vc=ps]:ተቃባ፟::qbh.A_psrc
qb_':[as=smp,vc=smp]:ቀባ፟::qbh.A_
qb_l:[as=smp,vc=ps]:ተቀበ፟ለ::qbl.B_ps
qb_l:[as=smp,vc=tr]:አቀበ፟ለ::qbl.B_cs
qbaTr:[as=smp,vc=smp]:ቀባጠ፟ረ::qbTr.F_ps
qbqb:[as=smp,vc=smp]:ቀበቀ፟በ::qbqb.E_
qbr:[as=smp,vc=cs]:አስቀበ፟ረ::qbr.A_csps
qbr:[as=smp,vc=ps]:ተቀበ፟ረ::qbr.A_ps
qbr:[as=smp,vc=smp]:ቀበ፟ረ::qbr.A_
qbtt:[as=smp,vc=ps]:ተቀበተ፟ተ::nfh.A_3
qd':[as=smp,vc=cs]:አስቀዳ፟::qdh.A_csps
qd':[as=smp,vc=smp]:ቀዳ፟::qdh.A_
qd_s:[as=smp,vc=cs]:አስቀደ፟ሰ::qds.B_csps
qd_s:[as=smp,vc=ps]:ተቀደ፟ሰ::qds.B_ps
qd_s:[as=smp,vc=smp]:ቀደ፟ሰ::qds.B_
qdd:[as=smp,vc=cs]:አስቀደ፟ደ::qdd.A_csps
qdd:[as=smp,vc=smp]:ቀደ፟ደ::qdd.A_
qdm:[as=smp,vc=smp]:ቀደ፟መ::bdr.A_
qfdd:[as=smp,vc=cs]:አስቀፈደ፟ደ::Tfr.B_csps
qfqf:[as=smp,vc=ps]:ተቀፈቀ፟ፈ::qfqf.E_ps
qfqf:[as=smp,vc=smp]:ቀፈቀ፟ፈ::qfqf.E_
qlTf:[as=rc,vc=tr]:አቀ፟ላጠ፟ፈ::fTn.A_cs
qlTf:[as=smp,vc=smp]:ቀለጠ፟ፈ::fTn.A_
ql_d:[as=rc,vc=ps]:ተቃለ፟ደ::qld.B_psrc
ql_d:[as=smp,vc=smp]:ቀለ፟ደ::qld.B_
ql_s:[as=smp,vc=ps]:ተቀለ፟ሰ::qls.B_ps
qlamd:[as=smp,vc=smp]:ቀላመ፟ደ::qlmd.F_
qlaql:[as=smp,vc=ps]:ተቀላቀ፟ለ::qlql.F_ps
qlaql:[as=smp,vc=smp]:ቀላቀ፟ለ::qlql.F_
qlbs:[as=smp,vc=ps]:ተቀለበ፟ሰ::qlbs.E_ps
qlbs:[as=smp,vc=smp]:ቀለበ፟ሰ::qlbs.E_
qll:[as=rc,vc=ps]:ተቃለ፟ለ::qll.A_psrc
qll:[as=rc,vc=tr]:አቃ፟ለ፟ለ::qll.A_cs
qll:[as=smp,vc=smp]:ቀለ፟ለ::qll.A_
qm_T:[as=smp,vc=cs]:አስቀመ፟ጠ::wnh.A_cs
qm_T:[as=smp,vc=ps]:ተቀመ፟ጠ::wnh.A_ps
qm_m:[as=smp,vc=ps]:ተቀመ፟መ::qmm.B_ps
qm_m:[as=smp,vc=smp]:ቀመ፟መ::qmm.B_
qms:[as=rc,vc=ps]:ተቃመ፟ሰ::qms.A_psrc
qms:[as=rc,vc=tr]:አቃ፟መ፟ሰ::qms.A_cspsrc
qms:[as=smp,vc=smp]:ቀመ፟ሰ::qms.A_
qn':[as=rc,vc=ps]:ተቃና፟::qnh.A_psrc
qn':[as=rc,vc=tr]:አቃ፟ና፟::qnh.A_cspsrc
qn':[as=smp,vc=smp]:ቀና፟::qnh.A_
qnCr:[as=smp,vc=smp]:ቀነጨ፟ረ::qnCr.E_
qnTb:[as=smp,vc=smp]:ቀነጠ፟በ::qmqm.E_
qnTs:[as=smp,vc=ps]:ተቀነጠ፟ሰ::qnTs.E_ps
qnTs:[as=smp,vc=smp]:ቀነጠ፟ሰ::qnTs.E_
qn_s:[as=it,vc=ps]:ተቀናነ፟ሰ::qns.B_psit
qn_s:[as=smp,vc=ps]:ተቀነ፟ሰ::qns.B_ps
qn_s:[as=smp,vc=smp]:ቀነ፟ሰ::qns.B_
qnaT':[as=smp,vc=ps]:ተቀናጣ፟::slh.A_psit
qndb:[as=smp,vc=smp]:ቀነደ፟በ::qnbh.E_
qnj*:[as=rc,vc=tr]:አቀ፟ናጀ፟::brz.B_csit
qnqn:[as=smp,vc=tr]:አቀነቀ፟ነ::wTh.A_cs
qq_l:[as=smp,vc=ps]:ተቀቀ፟ለ::tkl.B_ps
qq_l:[as=smp,vc=smp]:ቀቀ፟ለ::tkl.B_
qr*:[as=smp,vc=cs]:አስቀረ፟::qry.B_cs
qr*:[as=smp,vc=smp]:ቀረ፟::qry.B_
qrT:[as=rc,vc=ps]:ተቃረ፟ጠ::qrT.A_psrc
qrT:[as=smp,vc=smp]:ቀረ፟ጠ::qrT.A_
qrTf:[as=smp,vc=ps]:ተቀረጠ፟ፈ::qrTf.E_ps
qrb:[as=it,vc=ps]:ተቀራረ፟በ::qrb.A_psit
qrb:[as=it,vc=tr]:አቀ፟ራረ፟በ::qrb.A_csit
qrb:[as=smp,vc=cs]:አስቀረ፟በ::qrb.A_csps
qrb:[as=smp,vc=smp]:ቀረ፟በ::qrb.A_
qrb:[as=smp,vc=tr]:አቀረ፟በ::qrb.A_cs
qrf:[as=smp,vc=ps]:ተቀረ፟ፈ::qrf.A_ps
qrqr:[as=smp,vc=smp]:ቀረቀ፟ረ::qrqr.E_
qrqr:[as=smp,vc=tr]:አቀረቀ፟ረ::qrqr.E_cs
qrr:[as=smp,vc=tr]:አቀረ፟ረ::qrr.A_cs
qs_t:[as=rc,vc=tr]:አቃ፟ሰ፟ተ::qst.B_
qsaft:[as=smp,vc=smp]:ቀሳፈ፟ተ::qlmd.F_
qsqs:[as=smp,vc=ps]:ተቀሰቀ፟ሰ::qsqs.E_ps
qsqs:[as=smp,vc=smp]:ቀሰቀ፟ሰ::qsqs.E_
qwm:[as=smp,vc=smp]:ቆመ::qwm.A_
qwm:[as=smp,vc=tr]:አቆመ::qwm.A_cs
qy_T:[as=smp,vc=ps]:ተቀየ፟ጠ::qms.B_ps
qy_d:[as=smp,vc=smp]:ቀየ፟ደ::skl.B_
qy_m:[as=it,vc=ps]:ተቀያየ፟መ::mxy.Aw_psit
qy_m:[as=smp,vc=ps]:ተቀየ፟መ::mxy.Aw_cs
qy_r:[as=smp,vc=smp]:ቀየ፟ረ::sgr.B_
qym:[as=smp,vc=tr]:አቄመ::qym.A_cs
qzqz:[as=smp,vc=smp]:ቀዘቀ፟ዘ::brd.A_
qzqz:[as=smp,vc=tr]:አቀዘቀ፟ዘ::brd.A_cs
r'b:[as=smp,vc=ps]:ተራበ::rhb.A_ps
r'b:[as=smp,vc=smp,ob=[+xpl]]:ራበው::rhb.A_3
r'q:[as=it,vc=tr]:አራ፟ራቀ::rhq.A_cspsit
r's:[as=it,vc=ps]:ተራራሰ::zmzm.E_
r's:[as=smp,vc=smp]:ራሰ::zmzm.E_
rC*:[as=it,vc=ps]:ተረጫጨ፟::rCy.B_psrc
rC*:[as=rc,vc=ps]:ተራጨ፟::rCy.B_psrc
rC*:[as=smp,vc=cs]:አስረጨ፟::rCy.B_csps
rC*:[as=smp,vc=smp]:ረጨ፟::rCy.B_
rb':[as=rc,vc=ps]:ተራባ፟::rbh.A_
rb':[as=rc,vc=tr]:አራ፟ባ፟::rbh.A_cs
rb':[as=smp,vc=tr]:አረባ፟::rbh.A_cs
rbrb:[as=rc,vc=ps]:ተረባረ፟በ::rbrb.E_psrc
rbrb:[as=smp,vc=smp]:ረበረ፟በ::rbrb.E_
rd':[as=it,vc=ps]:ተርዳዳ፟::rdh.A_psrc
rd':[as=smp,vc=cs]:አስረዳ፟::rdh.A_csps
rd':[as=smp,vc=smp]:ረዳ፟::rdh.A_
rd':[as=smp,vc=tr]:አረዳ፟::rdh.A_cs
rfd:[as=smp,vc=smp]:ረፈ፟ደ::tyr.A_
rfd:[as=smp,vc=tr]:አረፈ፟ደ::tyr.A_cs
rg':[as=it,vc=ps]:ተርጋጋ፟::rgh.A_psit
rg':[as=it,vc=tr]:አርጋጋ፟::rgh.A_cspsit
rg':[as=smp,vc=smp]:ረጋ፟::rgh.A_
rgT:[as=it,vc=ps]:ተረጋገ፟ጠ::rgT.A_psit
rgT:[as=it,vc=smp]:ረጋገ፟ጠ::rgT.A_it
rgT:[as=smp,vc=smp]:ረገ፟ጠ::rgT.A_
rgd:[as=smp,vc=tr]:አረገ፟ደ::bws.A_cs
rgf:[as=rc,vc=tr]:አራ፟ገ፟ፈ::rgf.A_cspsrc
rgf:[as=smp,vc=smp]:ረገ፟ፈ::rgf.A_
rgf:[as=smp,vc=tr]:አረገ፟ፈ::rgf.A_cspsrc
rgrg:[as=smp,vc=tr]:አረገረ፟ገ::rgrg.E_cs
rj*:[as=smp,vc=tr]:አረጀ፟::grz.A_
rkb:[as=it,vc=ps]:ተረካከ፟በ::rkb.B_psit
rkb:[as=smp,vc=ps]:ተረከ፟በ::rkb.B_ps
rm_T:[as=smp,vc=smp]:ረመ፟ጠ::rmT.B_
rs':[as=it,vc=ps]:ተርሳሳ፟::rsh.A_psit
rs':[as=smp,vc=cs]:አስረሳ፟::rsh.A_csps
rs':[as=smp,vc=smp]:ረሳ፟::rsh.A_
rs':[as=smp,vc=tr]:አረሳ፟::rsh.A_cspsit
rt':[as=smp,vc=ps]:ተረታ፟::rth.A_ps
rt':[as=smp,vc=smp]:ረታ፟::rth.A_
rwT:[as=it,vc=ps]:ተሯሯጠ::rwT.A_psrc
rwT:[as=smp,vc=smp]:ሮጠ::rwT.A_
rzm:[as=smp,vc=smp]:ረዘ፟መ::glf.A_
rzm:[as=smp,vc=tr]:አረዘ፟መ::glf.A_cs
r|mTmT:[as=smp,vc=ps]:ተርመጠመ፟ጠ::rmT.B_psit
r|mTmT:[as=smp,vc=tr]:አርመጠመ፟ጠ::rmT.B_csit
s'b:[as=smp,vc=ps]:ተሳበ::xhb.A_ps
s'b:[as=smp,vc=smp]:ሳበ::xhb.A_
s'l:[as=smp,vc=ps]:ተሳለ::shl.A_ps
s'l:[as=smp,vc=smp]:ሳለ::shl.A_
s'm:[as=smp,vc=smp]:ሳመ::shm.A_
s'q:[as=it,vc=cs]:አሳ፟ሳቀ::dhq.A_csit
s'q:[as=smp,vc=cs]:አሳ፟ቀ::dhq.A_cs
s'q:[as=smp,vc=smp]:ሳቀ::dhq.A_
s's':[as=smp,vc=smp]:ሳሳ፟::sst.B_cs
s't:[as=it,vc=cs]:አሳ፟ሳተ::sht.A_cspsit
s't:[as=it,vc=ps]:ተሳሳተ::sht.A_psit
s't:[as=smp,vc=smp]:ሳተ::sht.A_
sN*:[as=smp,vc=cs,ob=[+xpl]]:አሰ፟ኘ፟ው::rqq.A_cs3
sT':[as=smp,vc=cs]:አሰ፟ጣ፟::zrr.B_
sT*:[as=smp,vc=smp]:ሰጠ፟::whb.A_
sb':[as=smp,vc=cs]:አሰ፟ባ፟::dlb.A_cs
sb':[as=smp,vc=smp]:ሰባ፟::dlb.A_
sb_b:[as=rc,vc=ps]:ተሳበ፟በ::sbb.C_ps
sbk:[as=smp,vc=smp]:ሰበ፟ከ::sbk.A_
sbr:[as=smp,vc=cs]:አሰ፟በ፟ረ::sbr.A_csps
sbr:[as=smp,vc=ps]:ተሰበ፟ረ::sbr.A_ps
sbr:[as=smp,vc=smp]:ሰበ፟ረ::sbr.A_
sbsb:[as=smp,vc=cs]:አሰ፟በሰ፟በ::nsh.A_csps
sbsb:[as=smp,vc=ps]:ተሰበሰ፟በ::nsh.A_ps
sdb:[as=rc,vc=ps]:ተሳደ፟በ::sdb.A_psrc
sdb:[as=smp,vc=cs]:አሰ፟ደ፟በ::sdb.A_cs
sdb:[as=smp,vc=smp]:ሰደ፟በ::sdb.A_
sdd:[as=rc,vc=tr]:አሳ፟ደ፟ደ::sdd.A_cspsrc
sdd:[as=smp,vc=ps]:ተሰደ፟ደ::sdd.A_ps
sf':[as=smp,vc=cs]:አሰ፟ፋ፟::sfy.B_csps
sf':[as=smp,vc=ps]:ተሰፋ፟::sfy.B_ps
sf':[as=smp,vc=smp]:ሰፋ፟::sfy.B_
sff:[as=smp,vc=smp]:ሰፈ፟ፈ::zll.C_cs
sfr:[as=smp,vc=smp]:ሰፈ፟ረ::sfr.A_
sgr:[as=smp,vc=cs]:አሰ፟ገ፟ረ::sgr.A_csps
sgr:[as=smp,vc=smp]:ሰገ፟ረ::sgr.A_
sgsg:[as=smp,vc=smp]:ሰገሰ፟ገ::tbh.AW_csit
sk_':[as=rc,vc=ps]:ተሳካ፟::skh.B_psrc
sk_':[as=rc,vc=tr]:አሳ፟ካ፟::skh.B_cspsrc
sk_n:[as=smp,vc=smp]:ሰከ፟ነ::skn.A_
skr:[as=rc,vc=ps]:ተሳከ፟ረ::skr.A_psrc
skr:[as=rc,vc=tr]:አሳ፟ከ፟ረ::skr.A_cspsrc
skr:[as=smp,vc=smp]:ሰከ፟ረ::skr.A_
sksk:[as=smp,vc=ps]:ተሰከሰ፟ከ::sksk.E_ps
sksk:[as=smp,vc=smp]:ሰከሰ፟ከ::sksk.E_
sl_f:[as=smp,vc=ps]:ተሰለ፟ፈ::slf.B_ps
sl_l:[as=smp,vc=smp]:ሰለ፟ለ::sll.B_
sl_q:[as=smp,vc=ps]:ተሰለ፟ቀ::slq.B_ps
slb:[as=smp,vc=ps]:ተሰለ፟በ::slb.A_ps
slb:[as=smp,vc=smp]:ሰለ፟በ::slb.A_
slc*:[as=rc,vc=ps]:ተሰላቸ፟::sltt.E_psrc
slc*:[as=smp,vc=smp]:ሰለቸ፟::sltt.E_
slm:[as=rc,vc=ps]:ተሳለ፟መ::slm.A_psrc
slm:[as=smp,vc=smp]:ሰለ፟መ::slm.A_
slqT:[as=smp,vc=smp]:ሰለቀ፟ጠ::whT.A_
slsl:[as=rc,vc=tr]:አሰ፟ላሰ፟ለ::slsl.F_csps
sm':[as=it,vc=ps,ob=[+xpl]]:ተስማማ፟ው::smh.A_psit3
sm':[as=it,vc=ps]:ተስማማ፟::smh.A_psit
sm':[as=it,vc=tr]:አስማማ፟::smh.A_cspsit
sm':[as=smp,vc=cs]:አሰ፟ማ፟::smh.A_cspsit
sm':[as=smp,vc=ps,ob=[+xpl]]:ተሰማ፟ው::smh.A_ps3
sm':[as=smp,vc=ps]:ተሰማ፟::smh.A_ps
sm':[as=smp,vc=smp]:ሰማ፟::smh.A_
smT:[as=smp,vc=smp]:ሰመ፟ጠ::smT.A_
smar':[as=smp,vc=cs]:አሰ፟ማራ፟::blh.A_csit
snTq:[as=it,vc=ps]:ተሰነጣጠ፟ቀ::sTq.A_psit
snTq:[as=smp,vc=smp]:ሰነጠ፟ቀ::sTq.A_
snTr:[as=smp,vc=smp]:ሰነጠ፟ረ::snTr.E_
snad':[as=smp,vc=cs]:አሰ፟ናዳ፟::snjy.F_csps
snad':[as=smp,vc=ps]:ተሰናዳ፟::snjy.F_ps
snbt:[as=rc,vc=ps]:ተሰናበ፟ተ::snbt.E_psrc
snbt:[as=rc,vc=tr]:አሰ፟ናበ፟ተ::snbt.E_cspsrc
snbt:[as=smp,vc=cs]:አሰ፟ነበ፟ተ::snbt.E_cs
snbt:[as=smp,vc=smp]:ሰነበ፟ተ::snbt.E_
snf:[as=rc,vc=tr]:አሳ፟ነ፟ፈ::snf.A_cspsrc
snf:[as=smp,vc=smp]:ሰነ፟ፈ::snf.A_
snkl:[as=rc,vc=ps]:ተሰናከ፟ለ::snkl.F_ps
snkl:[as=rc,vc=tr]:አሰ፟ናከ፟ለ::snkl.F_csps
snqr:[as=smp,vc=ps]:ተሰነቀ፟ረ::qqh.C_ps
sqay*:[as=smp,vc=cs]:አሰ፟ቃየ፟::sqyy.F_csps
sqay*:[as=smp,vc=ps]:ተሰቃየ፟::sqyy.F_ps
sql:[as=smp,vc=smp]:ሰቀ፟ለ::sql.A_
sr':[as=smp,vc=cs]:አሰ፟ራ፟::rxy.A_csps
sr':[as=smp,vc=ps]:ተሰራ፟::rxy.A_ps
sr':[as=smp,vc=smp]:ሰራ፟::rxy.A_cs
srq:[as=smp,vc=cs]:አሰ፟ረ፟ቀ::srq.A_csps
srq:[as=smp,vc=ps]:ተሰረ፟ቀ::srq.A_ps
srq:[as=smp,vc=smp]:ሰረ፟ቀ::srq.A_
syr:[as=smp,vc=cs]:አሴ፟ረ::tbtb.E_
s|fnTr:[as=smp,vc=ps]:ተስፈነጠ፟ረ::fnTr.F_ps
tN_':[as=smp,vc=cs]:አስተኛ፟::hNy.A_csps
tN_':[as=smp,vc=smp]:ተኛ፟::hNy.A_
tall:[as=smp,vc=ps]:ተታለ፟ለ::blT.A_ps
tall:[as=smp,vc=tr]:አታለ፟ለ::blT.A_csit
tb':[as=smp,vc=smp]:ተባ፟::tbh.A_
tf':[as=smp,vc=smp]:ተፋ፟::tfh.A_
tkW_s:[as=smp,vc=smp]:ተኰ፟ሰ::tks.AW_
